NO_OF_FRAMES	720
NO_OF_CAMERAS	7
NO_OF_MARKERS	2
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-17, 08:53:44	912.56663253
DATA_INCLUDED	3D
MARKER_NAMES	right_knee	right_ankle
Frame	Time	right_knee X	right_knee Y	right_knee Z	right_ankle X	right_ankle Y	right_ankle Z	
144	1.20000	1253.203	1777.875	500.677	1195.457	1699.688	124.827
145	1.20833	1249.522	1774.200	499.852	1191.932	1695.171	124.665
146	1.21667	1246.452	1770.621	499.135	1188.316	1690.702	123.586
147	1.22500	1243.202	1767.154	498.473	1185.049	1686.714	122.926
148	1.23333	1239.980	1763.714	497.342	1181.852	1683.065	122.346
149	1.24167	1236.733	1760.654	496.667	1179.061	1679.667	121.021
150	1.25000	1233.774	1757.348	495.792	1176.498	1676.512	120.480
151	1.25833	1230.505	1754.396	494.695	1173.727	1673.992	119.694
152	1.26667	1227.299	1751.241	493.466	1171.432	1671.504	118.432
153	1.27500	1224.265	1748.159	492.745	1169.200	1668.950	116.968
154	1.28333	1221.186	1745.260	491.721	1167.256	1667.302	115.960
155	1.29167	1218.322	1742.646	490.444	1165.276	1665.541	114.573
156	1.30000	1215.468	1739.865	489.545	1163.399	1663.934	112.923
157	1.30833	1212.683	1737.349	488.355	1161.797	1662.774	111.343
158	1.31667	1209.983	1734.978	486.827	1160.850	1661.266	109.724
159	1.32500	1207.387	1732.576	485.484	1160.060	1660.352	107.961
160	1.33333	1204.831	1730.429	484.111	1159.043	1659.432	106.116
161	1.34167	1202.369	1728.279	482.628	1158.684	1658.192	103.781
162	1.35000	1200.211	1726.286	481.413	1158.168	1656.888	102.466
163	1.35833	1198.353	1724.814	479.729	1157.663	1655.472	101.532
164	1.36667	1195.801	1723.043	478.158	1156.599	1653.321	100.643
165	1.37500	1193.837	1720.940	476.924	1155.456	1651.222	99.839
166	1.38333	1191.143	1718.879	476.134	1154.063	1649.401	99.262
167	1.39167	1188.176	1716.872	475.433	1152.720	1647.961	98.675
168	1.40000	1184.818	1714.582	474.919	1150.934	1646.481	98.189
169	1.40833	1181.390	1712.117	474.794	1149.400	1645.142	97.952
170	1.41667	1177.587	1709.827	474.542	1148.024	1644.056	97.886
171	1.42500	1173.724	1707.460	474.543	1146.574	1643.170	97.817
172	1.43333	1170.016	1704.974	474.379	1145.525	1642.826	97.695
173	1.44167	1165.966	1702.525	474.663	1144.469	1642.536	97.410
174	1.45000	1161.958	1700.506	474.888	1143.622	1642.238	97.121
175	1.45833	1157.930	1698.565	474.879	1142.666	1641.892	96.902
176	1.46667	1154.036	1696.511	475.318	1141.776	1641.495	96.650
177	1.47500	1150.716	1694.513	475.399	1141.091	1640.934	96.356
178	1.48333	1146.796	1692.731	475.307	1140.161	1640.407	95.883
179	1.49167	1143.586	1690.612	475.242	1139.660	1639.983	96.068
180	1.50000	1140.019	1688.243	475.050	1139.228	1639.279	95.827
181	1.50833	1137.229	1686.298	475.116	1138.844	1638.665	95.779
182	1.51667	1133.839	1684.012	474.920	1138.488	1637.957	95.837
183	1.52500	1130.727	1681.810	474.801	1138.107	1637.248	95.990
184	1.53333	1127.512	1679.527	474.777	1137.787	1636.566	95.743
185	1.54167	1124.700	1677.380	474.741	1137.640	1636.009	95.861
186	1.55000	1121.546	1675.227	474.731	1137.445	1635.717	95.999
187	1.55833	1118.480	1673.225	474.774	1137.362	1635.303	96.196
188	1.56667	1115.449	1671.215	474.581	1137.241	1635.154	95.926
189	1.57500	1112.464	1669.343	474.681	1137.099	1634.844	96.374
190	1.58333	1109.408	1667.331	474.796	1137.018	1634.577	96.379
191	1.59167	1106.654	1665.550	475.068	1136.891	1634.370	96.375
192	1.60000	1103.515	1663.624	474.962	1136.880	1634.089	96.455
193	1.60833	1100.996	1661.831	474.986	1137.065	1634.106	96.560
194	1.61667	1098.336	1660.298	474.925	1136.706	1633.577	96.677
195	1.62500	1095.906	1658.495	475.174	1136.597	1633.479	96.729
196	1.63333	1093.466	1656.996	475.238	1136.522	1633.448	96.817
197	1.64167	1090.981	1655.389	475.072	1136.478	1633.162	96.779
198	1.65000	1088.792	1653.914	475.067	1136.582	1633.081	96.824
199	1.65833	1086.241	1652.513	474.750	1136.474	1633.200	96.984
200	1.66667	1084.308	1651.089	474.751	1136.382	1633.159	96.942
201	1.67500	1082.298	1649.434	474.818	1136.436	1632.896	96.986
202	1.68333	1079.837	1648.079	474.749	1136.430	1632.968	97.033
203	1.69167	1077.908	1646.548	474.680	1136.423	1632.588	97.134
204	1.70000	1076.018	1645.203	474.353	1136.388	1632.472	97.194
205	1.70833	1073.773	1643.727	474.039	1136.243	1632.329	97.314
206	1.71667	1071.982	1642.115	474.096	1136.199	1632.163	97.352
207	1.72500	1070.260	1640.664	474.059	1136.136	1631.980	97.537
208	1.73333	1068.155	1639.029	474.092	1136.222	1631.794	97.670
209	1.74167	1066.392	1637.472	474.063	1136.013	1631.706	97.784
210	1.75000	1064.585	1635.981	473.727	1135.951	1631.604	97.870
211	1.75833	1062.483	1634.415	473.550	1135.915	1631.394	98.168
212	1.76667	1060.532	1632.781	473.350	1135.728	1631.308	98.195
213	1.77500	1058.851	1631.175	473.126	1135.689	1631.125	98.285
214	1.78333	1057.015	1629.384	473.073	1135.521	1630.787	98.515
215	1.79167	1055.286	1627.843	472.992	1135.532	1630.746	98.620
216	1.80000	1053.356	1626.226	472.794	1135.537	1630.490	98.668
217	1.80833	1051.394	1624.642	472.356	1135.418	1630.426	98.832
218	1.81667	1049.661	1623.029	472.156	1135.309	1630.167	98.910
219	1.82500	1047.783	1621.445	471.826	1135.287	1630.022	99.122
220	1.83333	1046.263	1619.670	471.593	1135.207	1629.742	99.016
221	1.84167	1044.459	1618.301	471.556	1135.263	1629.490	99.334
222	1.85000	1042.841	1616.753	471.178	1135.159	1629.430	99.239
223	1.85833	1040.961	1615.149	470.856	1135.116	1629.237	99.458
224	1.86667	1039.416	1613.862	470.453	1135.075	1629.160	99.428
225	1.87500	1037.828	1612.302	470.240	1134.996	1629.065	99.512
226	1.88333	1035.869	1610.864	469.863	1134.975	1628.952	99.670
227	1.89167	1034.229	1609.539	469.406	1134.950	1628.773	99.710
228	1.90000	1032.818	1607.700	469.006	1134.978	1628.423	99.847
229	1.90833	1030.684	1606.171	468.750	1134.765	1628.350	100.000
230	1.91667	1028.742	1604.492	468.286	1134.615	1628.040	100.210
231	1.92500	1027.248	1602.997	468.155	1134.696	1627.849	100.391
232	1.93333	1025.490	1601.329	467.725	1134.583	1627.751	100.770
233	1.94167	1023.804	1599.839	467.742	1134.314	1627.493	101.057
234	1.95000	1022.299	1598.181	467.450	1134.341	1627.424	101.252
235	1.95833	1020.430	1596.542	467.232	1134.195	1627.153	101.301
236	1.96667	1018.975	1594.933	466.967	1134.256	1626.998	101.471
237	1.97500	1017.189	1593.749	466.897	1134.280	1626.747	101.738
238	1.98333	1015.387	1592.311	466.504	1134.153	1626.711	101.772
239	1.99167	1013.649	1590.842	466.199	1134.185	1626.599	102.120
240	2.00000	1011.990	1589.698	466.478	1133.804	1626.890	102.627
241	2.00833	1010.476	1588.477	466.291	1134.010	1626.298	102.418
242	2.01667	1008.569	1586.807	466.131	1133.930	1626.140	102.674
243	2.02500	1006.763	1585.448	465.534	1133.765	1626.272	103.312
244	2.03333	1004.854	1583.938	465.039	1133.780	1626.171	103.555
245	2.04167	1003.108	1582.498	465.133	1133.620	1625.854	104.042
246	2.05000	1001.372	1580.974	464.928	1133.631	1625.509	104.322
247	2.05833	999.892	1579.426	464.592	1133.676	1625.086	104.697
248	2.06667	998.038	1577.768	464.133	1133.584	1624.674	105.327
249	2.07500	996.158	1575.988	463.338	1133.475	1624.298	105.637
250	2.08333	994.177	1574.393	463.266	1133.366	1624.114	105.992
251	2.09167	992.544	1572.362	462.927	1133.221	1623.913	106.351
252	2.10000	990.791	1570.533	462.533	1133.157	1623.428	106.899
253	2.10833	988.973	1568.568	461.999	1132.876	1623.039	107.286
254	2.11667	987.240	1566.973	461.951	1132.990	1622.743	107.971
255	2.12500	985.084	1565.154	461.910	1132.703	1622.278	108.527
256	2.13333	983.303	1563.176	461.734	1132.660	1621.994	109.476
257	2.14167	981.418	1561.026	461.075	1132.490	1621.797	110.375
258	2.15000	979.240	1559.543	461.226	1132.093	1621.304	111.224
259	2.15833	977.270	1557.181	461.346	1131.985	1621.333	111.849
260	2.16667	975.299	1555.161	461.156	1131.480	1620.891	112.507
261	2.17500	973.053	1553.010	460.866	1130.996	1620.663	113.107
262	2.18333	971.072	1550.836	461.023	1130.452	1620.319	113.855
263	2.19167	969.279	1548.753	461.475	1130.035	1619.847	114.844
264	2.20000	966.753	1547.619	462.595	1129.538	1619.898	116.054
